# File generated by...
# program:      TSTool 14.6.0 (2023-02-28)
# user:         steve
# date:         Sat Mar 18 02:36:22 America/Denver 2023
# host:         blue
# directory:    D:\Users\steve\cdss-dev\TSTool\git-repos\owf-tstool-synoptic-plugin\resources\nws-cwa
# command line: TSTool
# -home test/operational/CDSS
# -----------------------------------------------------------------------
# Command file name: "D:\Users\steve\cdss-dev\TSTool\git-repos\owf-tstool-synoptic-plugin\resources\nws-cwa\format-cwa-choices.tstool"
# Commands: 
# # Create the NWS County Warning Area dataset and format choices for the TSTool Synoptic plugin CWA filter choices:
# # - the file is used at runtime to populate the NWS CWA input filter
# # - download the shapefile from:  https://www.weather.gov/gis/CWABounds
# # - the DBF file is distributed with the plugin in the resources/ folder
# WebGet(URI="https://www.weather.gov/source/gis/Shapefiles/WSOM/w_08mr23.zip",LocalFile="downloads/w_08mr23.zip")
# UnzipFile(InputFile="downloads\w_08mr23.zip",OutputFolder="results")
# ReadTableFromDBF(TableID="CWA",InputFile="results/w_08mr23.dbf")
# FormatTableString(TableID="CWA",InputColumns="ST,CITY",Format="%s, %s",OutputColumn="FILTER_CHOICE_TO_SORT")
# FormatTableString(TableID="CWA",InputColumns="CWA,ST,CITY",Format="%s - %s, %s",OutputColumn="FILTER_CHOICE")
# SortTable(TableID="CWA",SortColumns="FILTER_CHOICE_TO_SORT")
# WriteTableToDelimitedFile(TableID="CWA",OutputFile="results/synoptic-nws-cwa.csv")
# CopyFile(InputFile="results/synoptic-nws-cwa.csv",OutputFile="..\..\owf-tstool-synoptic-plugin\src\main\java\org\openwaterfoundation\tstool\plugin\synoptic\resources\synoptic-nws-cwa.csv")
# 
# -----------------------------------------------------------------------------
# HydroBase database is: HydroBase_CO_20220330 on localhost\CDSS
# HydroBase.db_version:  design version: 20220330  last data change: 20220330
# HydroBase table structure for software is at least 2020072020200720
# HydroBase input name is "".
# Stored procedures are being used.
# -----------------------------------------------------------------------------
# 
# 
# -----------------------------------------------------------------------------
# HydroBase database is: HydroBase_CO_20200720 on localhost\CDSS
# HydroBase.db_version:  design version: 20200720  last data change: 20200125
# HydroBase table structure for software is at least 2020072020200720
# HydroBase input name is "".
# Stored procedures are being used.
# -----------------------------------------------------------------------------
# 
# 
# -----------------------------------------------------------------------------
# HydroBase database is: HydroBase_CO_20220928 on localhost\CDSS
# HydroBase.db_version:  design version: 20220811  last data change: 20220928
# HydroBase table structure for software is at least 2020072020200720
# HydroBase input name is "".
# Stored procedures are being used.
# -----------------------------------------------------------------------------
# 
"OBJECTID","CWA","WFO","LON","LAT","REGION","FULLSTAID","CITYSTATE","CITY","STATE","ST","FILTER_CHOICE_TO_SORT","FILTER_CHOICE"
121,PIH,PIH,-112.86843289400,43.35226221120,WR,KPIH,Pocatello ID,Pocatello,Idaho,ID,"ID, Pocatello","PIH - ID, Pocatello"
68,LOT,LOT,-88.25822405970,41.48410834420,CR,KLOT,Chicago IL,Chicago,Illinois,IL,"IL, Chicago","LOT - IL, Chicago"
56,ILX,ILX,-89.00487232540,39.94418053800,CR,KILX,Lincoln IL,Lincoln,Illinois,IL,"IL, Lincoln","ILX - IL, Lincoln"
30,DVN,DVN,-91.01533630190,41.51221361080,CR,KDVN,Quad Cities IA IL,Quad Cities,Illinois,IL,"IL, Quad Cities","DVN - IL, Quad Cities"
57,IND,IND,-86.44511281220,39.62128997310,CR,KIND,Indianapolis IN,Indianapolis,Indiana,IN,"IN, Indianapolis","IND - IN, Indianapolis"
58,IWX,IWX,-85.45514852870,41.26534269320,CR,KIWX,Northern Indiana,Northern Indiana,Indiana,IN,"IN, Northern Indiana","IWX - IN, Northern Indiana"
26,DDC,DDC,-100.16230233200,37.86151709940,CR,KDDC,Dodge City KS,Dodge City,Kansas,KS,"KS, Dodge City","DDC - KS, Dodge City"
43,GLD,GLD,-101.46830328000,39.42629640960,CR,KGLD,Goodland KS,Goodland,Kansas,KS,"KS, Goodland","GLD - KS, Goodland"
114,TOP,TOP,-96.39392348950,39.14961125260,CR,KTOP,Topeka KS,Topeka,Kansas,KS,"KS, Topeka","TOP - KS, Topeka"
53,ICT,ICT,-97.17602851310,37.91431492280,CR,KICT,Wichita KS,Wichita,Kansas,KS,"KS, Wichita","ICT - KS, Wichita"
61,JKL,JKL,-83.57498433070,37.39028956020,CR,KJKL,Jackson KY,Jackson,Kentucky,KY,"KY, Jackson","JKL - KY, Jackson"
67,LMK,LMK,-85.66810428470,37.72541140550,CR,KLMK,Louisville KY,Louisville,Kentucky,KY,"KY, Louisville","LMK - KY, Louisville"
92,PAH,PAH,-88.71694444260,37.41220952400,CR,KPAH,Paducah KY,Paducah,Kentucky,KY,"KY, Paducah","PAH - KY, Paducah"
64,LCH,LCH,-92.96841261260,30.45238046210,SR,KLCH,Lake Charles LA,Lake Charles,Louisiana,LA,"LA, Lake Charles","LCH - LA, Lake Charles"
65,LIX,LIX,-90.38911273290,30.34088323200,SR,KLIX,New Orleans LA,New Orleans,Louisiana,LA,"LA, New Orleans","LIX - LA, New Orleans"
107,SHV,SHV,-93.87458030880,32.62547717940,SR,KSHV,Shreveport LA,Shreveport,Louisiana,LA,"LA, Shreveport","SHV - LA, Shreveport"
15,BOX,BOX,-71.75286179740,42.11040147690,ER,KBOX,Boston/Norton MA,Norton,Massachusetts,MA,"MA, Norton","BOX - MA, Norton"
20,CAR,CAR,-68.66861319470,45.85741152620,ER,KCAR,Caribou ME,Caribou,Maine,ME,"ME, Caribou","CAR - ME, Caribou"
48,GYX,GYX,-70.76514314930,44.20351234120,ER,KGYX,Gray ME,Gray,Maine,ME,"ME, Gray","GYX - ME, Gray"
29,DTX,DTX,-83.51166794330,42.94604614370,CR,KDTX,Detroit/Pontiac MI,Detroit/Pontiac,Michigan,MI,"MI, Detroit/Pontiac","DTX - MI, Detroit/Pontiac"
8,APX,APX,-84.66401038350,45.01239886800,CR,KAPX,Gaylord MI,Gaylord,Michigan,MI,"MI, Gaylord","APX - MI, Gaylord"
45,GRR,GRR,-85.35139701450,43.09130717890,CR,KGRR,Grand Rapids MI,Grand Rapids,Michigan,MI,"MI, Grand Rapids","GRR - MI, Grand Rapids"
83,MQT,MQT,-87.81280626600,46.38212823210,CR,KMQT,Marquette MI,Marquette,Michigan,MI,"MI, Marquette","MQT - MI, Marquette"
27,DLH,DLH,-92.45759914360,47.05119574730,CR,KDLH,Duluth MN,Duluth,Minnesota,MN,"MN, Duluth","DLH - MN, Duluth"
82,MPX,MPX,-93.82791299960,44.99419815130,CR,KMPX,Twin Cities/Chanhassen MN,Twin Cities/Chanhassen,Minnesota,MN,"MN, Twin Cities/Chanhassen","MPX - MN, Twin Cities/Chanhassen"
31,EAX,EAX,-93.93018976750,39.48900505300,CR,KEAX,Kansas City/Pleasant Hill MO,Kansas City/Pleasant Hill,Missouri,MO,"MO, Kansas City/Pleasant Hill","EAX - MO, Kansas City/Pleasant Hill"
105,SGF,SGF,-93.05201110760,37.40401824150,CR,KSGF,Springfield MO,Springfield,Missouri,MO,"MO, Springfield","SGF - MO, Springfield"
70,LSX,LSX,-90.83054864930,38.81667236050,CR,KLSX,St Louis MO,St Louis,Missouri,MO,"MO, St Louis","LSX - MO, St Louis"
59,JAN,JAN,-90.19955198750,32.53819344830,SR,KJAN,Jackson MS,Jackson,Mississippi,MS,"MS, Jackson","JAN - MS, Jackson"
120,BYZ,BYZ,-107.36781454800,45.79092601460,WR,KBYZ,Billings MT,Billings,Montana,MT,"MT, Billings","BYZ - MT, Billings"
40,GGW,GGW,-106.23605129000,47.85744718800,WR,KGGW,Glasgow MT,Glasgow,Montana,MT,"MT, Glasgow","GGW - MT, Glasgow"
119,TFX,TFX,-111.22381729700,47.18205547460,WR,KTFX,Great Falls MT,Great Falls,Montana,MT,"MT, Great Falls","TFX - MT, Great Falls"
85,MSO,MSO,-114.52291102400,46.79297015340,WR,KMSO,Missoula MT,Missoula,Montana,MT,"MT, Missoula","MSO - MT, Missoula"
78,MHX,MHX,-77.02969307120,35.31200540190,ER,KMHX,Newport/Morehead City NC,Newport/Morehead City,North Carolina,NC,"NC, Newport/Morehead City","MHX - NC, Newport/Morehead City"
100,RAH,RAH,-78.96054763020,35.66236653110,ER,KRAH,Raleigh NC,Raleigh,North Carolina,NC,"NC, Raleigh","RAH - NC, Raleigh"
54,ILM,ILM,-79.02078941790,34.16759758710,ER,KILM,Wilmington NC,Wilmington,North Carolina,NC,"NC, Wilmington","ILM - NC, Wilmington"
11,BIS,BIS,-101.41758338500,47.36465539780,CR,KBIS,Bismarck ND,Bismarck,North Dakota,ND,"ND, Bismarck","BIS - ND, Bismarck"
36,FGF,FGF,-96.80228471930,47.65593919880,CR,KFGF,Grand Forks ND,Grand Forks,North Dakota,ND,"ND, Grand Forks","FGF - ND, Grand Forks"
41,GID,GID,-98.70203707690,40.43051684230,CR,KGID,Hastings NE,Hastings,Nebraska,NE,"NE, Hastings","GID - NE, Hastings"
63,LBF,LBF,-100.71204368200,41.87552716840,CR,KLBF,North Platte NE,North Platte,Nebraska,NE,"NE, North Platte","LBF - NE, North Platte"
87,OAX,OAX,-96.64690580380,41.37718173250,CR,KOAX,Omaha/Valley NE,Omaha/Valley,Nebraska,NE,"NE, Omaha/Valley","OAX - NE, Omaha/Valley"
95,PHI,PHI,-75.19592420240,39.98171881580,ER,KPHI,Mount Holly NJ,Mount Holly,New Jersey,NJ,"NJ, Mount Holly","PHI - NJ, Mount Holly"
1,ABQ,ABQ,-106.01661169600,35.11253878450,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,"NM, Albuquerque","ABQ - NM, Albuquerque"
33,EPZ,EPZ,-106.91353678100,32.35061493520,SR,KEPZ,El Paso Tx/Santa Teresa NM,El Paso Tx/Santa Teresa,New Mexico,NM,"NM, El Paso Tx/Santa Teresa","EPZ - NM, El Paso Tx/Santa Teresa"
66,LKN,LKN,-116.20839072300,40.24849344790,WR,KLKN,Elko NV,Elko,Nevada,NV,"NV, Elko","LKN - NV, Elko"
118,VEF,VEF,-115.62076018500,36.28698213860,WR,KVEF,Las Vegas NV,Las Vegas,Nevada,NV,"NV, Las Vegas","VEF - NV, Las Vegas"
101,REV,REV,-119.20944460400,39.79924476960,WR,KREV,Reno NV,Reno,Nevada,NV,"NV, Reno","REV - NV, Reno"
6,ALY,ALY,-73.92111910310,42.81402320430,ER,KALY,Albany NY,Albany,New York,NY,"NY, Albany","ALY - NY, Albany"
10,BGM,BGM,-75.89942309460,42.23319005310,ER,KBGM,Binghamton NY,Binghamton,New York,NY,"NY, Binghamton","BGM - NY, Binghamton"
18,BUF,BUF,-77.54853640150,42.99956519600,ER,KBUF,Buffalo NY,Buffalo,New York,NY,"NY, Buffalo","BUF - NY, Buffalo"
89,OKX,OKX,-73.38810804730,41.17745645990,ER,KOKX,Upton NY,Upton,New York,NY,"NY, Upton","OKX - NY, Upton"
22,CLE,CLE,-81.94048331550,41.18670987630,ER,KCLE,Cleveland OH,Cleveland,Ohio,OH,"OH, Cleveland","CLE - OH, Cleveland"
55,ILN,ILN,-83.88557115160,39.54199760430,ER,KILN,Wilmington OH,Wilmington,Ohio,OH,"OH, Wilmington","ILN - OH, Wilmington"
91,OUN,OUN,-98.21940965370,35.19956674650,SR,KOUN,Norman OK,Norman,Oklahoma,OK,"OK, Norman","OUN - OK, Norman"
115,TSA,TSA,-95.24733485210,35.75420466970,SR,KTSA,Tulsa OK,Tulsa,Oklahoma,OK,"OK, Tulsa","TSA - OK, Tulsa"
77,MFR,MFR,-122.02035180100,42.47849657500,WR,KMFR,Medford OR,Medford,Oregon,OR,"OR, Medford","MFR - OR, Medford"
94,PDT,PDT,-119.72734266100,45.40825411410,WR,KPDT,Pendleton OR,Pendleton,Oregon,OR,"OR, Pendleton","PDT - OR, Pendleton"
97,PQR,PQR,-122.84743254400,45.09665323960,WR,KPQR,Portland OR,Portland,Oregon,OR,"OR, Portland","PQR - OR, Portland"
93,PBZ,PBZ,-80.25969095740,40.39365798190,ER,KPBZ,Pittsburgh PA,Pittsburgh,Pennsylvania,PA,"PA, Pittsburgh","PBZ - PA, Pittsburgh"
24,CTP,CTP,-77.67395006570,40.80773760010,ER,KCTP,State College PA,State College,Pennsylvania,PA,"PA, State College","CTP - PA, State College"
124,PQE,PQE,161.45981147500,6.70681047545,PR,PPQE,Micronesia Domain East,Micronesia Domain East,MD East,PQ,"PQ, Micronesia Domain East","PQE - PQ, Micronesia Domain East"
125,PQW,PQW,138.08023258800,7.74523961438,PR,PPQW,Micronesia Domain West,Micronesia Domain West,MD West,PQ,"PQ, Micronesia Domain West","PQW - PQ, Micronesia Domain West"
109,SJU,SJU,-66.40652814710,18.21270632370,SR,TJSJ,San Juan PR,San Juan,Puerto Rico,PR,"PR, San Juan","SJU - PR, San Juan"
21,CHS,CHS,-81.03075619620,32.53233190350,ER,KCHS,Charleston SC,Charleston,South Carolina,SC,"SC, Charleston","CHS - SC, Charleston"
19,CAE,CAE,-81.18193451860,33.84795838110,ER,KCAE,Columbia SC,Columbia,South Carolina,SC,"SC, Columbia","CAE - SC, Columbia"
46,GSP,GSP,-82.07998873990,35.15566778340,ER,KGSP,Greenville-Spartanburg SC,Greenville-Spartanburg,South Carolina,SC,"SC, Greenville-Spartanburg","GSP - SC, Greenville-Spartanburg"
2,ABR,ABR,-99.15786877080,45.05594001540,CR,KABR,Aberdeen SD,Aberdeen,South Dakota,SD,"SD, Aberdeen","ABR - SD, Aberdeen"
117,UNR,UNR,-103.02154496100,44.25787706560,CR,KUNR,Rapid City SD,Rapid City,South Dakota,SD,"SD, Rapid City","UNR - SD, Rapid City"
38,FSD,FSD,-96.95002886630,43.51627920240,CR,KFSD,Sioux Falls SD,Sioux Falls,South Dakota,SD,"SD, Sioux Falls","FSD - SD, Sioux Falls"
75,MEG,MEG,-89.49911751980,35.16290221700,SR,KMEG,Memphis TN,Memphis,Tennessee,TN,"TN, Memphis","MEG - TN, Memphis"
84,MRX,MRX,-83.71372923390,36.00981077790,SR,KMRX,Morristown TN,Morristown,Tennessee,TN,"TN, Morristown","MRX - TN, Morristown"
88,OHX,OHX,-86.56564790500,35.93826136940,SR,KOHX,Nashville TN,Nashville,Tennessee,TN,"TN, Nashville","OHX - TN, Nashville"
7,AMA,AMA,-101.51643040000,35.86964846300,SR,KAMA,Amarillo TX,Amarillo,Texas,TX,"TX, Amarillo","AMA - TX, Amarillo"
34,EWX,EWX,-98.94408015870,29.65019140960,SR,KEWX,Austin/San Antonio TX,Austin/San Antonio,Texas,TX,"TX, Austin/San Antonio","EWX - TX, Austin/San Antonio"
16,BRO,BRO,-98.26543239180,26.70219354430,SR,KBRO,Brownsville TX,Brownsville,Texas,TX,"TX, Brownsville","BRO - TX, Brownsville"
23,CRP,CRP,-98.22752114750,28.07159458320,SR,KCRP,Corpus Christi TX,Corpus Christi,Texas,TX,"TX, Corpus Christi","CRP - TX, Corpus Christi"
39,FWD,FWD,-97.13923862020,32.36649081020,SR,KFWD,Fort Worth TX,Fort Worth,Texas,TX,"TX, Fort Worth","FWD - TX, Fort Worth"
50,HGX,HGX,-95.67475702640,30.04604585330,SR,KHGX,Houston/Galveston TX,Houston/Galveston,Texas,TX,"TX, Houston/Galveston","HGX - TX, Houston/Galveston"
71,LUB,LUB,-101.52868393700,33.85203685480,SR,KLUB,Lubbock TX,Lubbock,Texas,TX,"TX, Lubbock","LUB - TX, Lubbock"
74,MAF,MAF,-103.10125069500,31.40286835380,SR,KMAF,Midland/Odessa TX,Midland/Odessa,Texas,TX,"TX, Midland/Odessa","MAF - TX, Midland/Odessa"
108,SJT,SJT,-100.07201423000,31.58409879030,SR,KSJT,San Angelo TX,San Angelo,Texas,TX,"TX, San Angelo","SJT - TX, San Angelo"
110,SLC,SLC,-112.10470403100,39.49414789120,WR,KSLC,Salt Lake City UT,Salt Lake City,Utah,UT,"UT, Salt Lake City","SLC - UT, Salt Lake City"
103,RNK,RNK,-80.15170153390,37.06754961700,ER,KRNK,Blacksburg VA,Blacksburg,Virginia,VA,"VA, Blacksburg","RNK - VA, Blacksburg"
5,AKQ,AKQ,-77.04388720490,37.23560622300,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,"VA, Wakefield","AKQ - VA, Wakefield"
17,BTV,BTV,-73.45509032180,44.35712911190,ER,KBTV,Burlington VT,Burlington,Vermont,VT,"VT, Burlington","BTV - VT, Burlington"
104,SEW,SEW,-122.53979531000,47.66672944740,WR,KSEW,Seattle WA,Seattle,Washington,WA,"WA, Seattle","SEW - WA, Seattle"
90,OTX,OTX,-118.18342691800,47.74324079190,WR,KOTX,Spokane WA,Spokane,Washington,WA,"WA, Spokane","OTX - WA, Spokane"
44,GRB,GRB,-88.89222302060,44.98806927190,CR,KGRB,Green Bay WI,Green Bay,Wisconsin,WI,"WI, Green Bay","GRB - WI, Green Bay"
9,ARX,ARX,-91.35083779320,43.77759647540,CR,KARX,La Crosse WI,La Crosse,Wisconsin,WI,"WI, La Crosse","ARX - WI, La Crosse"
79,MKX,MKX,-89.02917643160,43.17600478360,CR,KMKX,Milwaukee/Sullivan WI,Milwaukee/Sullivan,Wisconsin,WI,"WI, Milwaukee/Sullivan","MKX - WI, Milwaukee/Sullivan"
